folder,domain_id,value,display_name,description
"",abi,1,Low (PAD),""
"",abi,2,Borderline,""
"",abi,3,Normal,""
"",abi,4,High,""
"",active_level,1,High,""
"",active_level,2,Moderate,""
"",active_level,3,Low,""
"",active_level4,1,Inactive,""
"",active_level4,2,Low Activity,""
"",active_level4,3,Moderate Activity,""
"",active_level4,4,High Activity,""
"",age_c2,1,Ages 18-44,""
"",age_c2,2,Ages 45+,""
"",age_c6,1,Ages 18-24,""
"",age_c6,2,Ages 25-34,""
"",age_c6,3,Ages 35-44,""
"",age_c6,4,Ages 45-54,""
"",age_c6,5,Ages 55-64,""
"",age_c6,6,Ages 65+,""
"",age_c6_nhanes,1,Ages 18-29,""
"",age_c6_nhanes,2,Ages 30-39,""
"",age_c6_nhanes,3,Ages 40-49,""
"",age_c6_nhanes,4,Ages 50-59,""
"",age_c6_nhanes,5,Ages 60-69,""
"",age_c6_nhanes,6,Ages 70-74,""
"",alcohol_risk,0,Non-drinker,""
"",alcohol_risk,1,Low risk drinker,""
"",alcohol_risk,2,At-risk drinker,""
"",alcohol_use,0,No current use,""
"",alcohol_use,1,Low level use,""
"",alcohol_use,2,High level use,""
"",asthma_meds_noyes,0,No current asthma or no anti-asthmatic medication use,""
"",asthma_meds_noyes,1,Anti-asthmatic medication use,""
"",aware,0,Not aware of diabetes,""
"",aware,1,Aware of diabetes,""
"",bd_response,0,less than or equal to 15% improvement,""
"",bd_response,1,greater than 15% improvement,""
"",bmi_range,1,Underweight (BMI < 18.5),""
"",bmi_range,2,Normal (18.5 < BMI <25),""
"",bmi_range,3,Overweight (25 < BMI < 30),""
"",bmi_range,4,Obese (BMI >30),""
"",bmi_range_c6,1,Underweight (BMI < 18.5),""
"",bmi_range_c6,2,Normal (18.5 < BMI <25),""
"",bmi_range_c6,3,Overweight (25 < BMI < 30),""
"",bmi_range_c6,4,Obese I (30 < BMI < 35),""
"",bmi_range_c6,5,Obese II (35 < BMI < 40),""
"",bmi_range_c6,6,Obese III,""
